language,emoji
haxe,:fire:
coffeescript,:fire:
swift,:fire:
javascript,:fire:
javascript,:fire:
javascript,:fire:
ruby,:fire:
javascript,:fire:
c#,:fire:
ruby,:fire:
objective-c,:fire:
javascript,:fire:
coffeescript,:fire:
scala,:fire:
coffeescript,:fire:
javascript,:fire:
javascript,:fire:
coffeescript,:fire:
coffeescript,:fire:
coffeescript,:fire:
coffeescript,:fire:
python,:fire:
coffeescript,:fire:
ruby,:fire:
haskell,:fire:
haskell,:fire:
haskell,:fire:
coffeescript,:fire:
coffeescript,:fire:
javascript,:fire:
css,:fire:
javascript,:fire:
coffeescript,:fire:
coffeescript,:fire:
objective-c,:fire:
css,:fire:
javascript,:fire:
javascript,:fire:
ruby,:fire:
coffeescript,:fire:
coffeescript,:fire:
coffeescript,:fire:
coffeescript,:fire:
ruby,:fire:
ruby,:fire:
ruby,:fire:
ruby,:fire:
ruby,:fire:
ruby,:fire:
ruby,:fire:
ruby,:fire:
ruby,:fire:
ruby,:fire:
shell,:fire:
javascript,:fire:
javascript,:fire:
php,:new:
php,:fire:
javascript,:fire:
javascript,:fire:
coffeescript,:fire:
coffeescript,:fire:
java,:fire:
go,:fire:
javascript,:fish:
arduino,:fish:
groovy,:fish:
php,:fist:
coffeescript,:neckbeard:
ruby,:frog:
javascript,:fuck:
javascript,:gift:
javascript,:gift:
coffeescript,:gift:
objective-c,:gift:
visual basic,:gift:
coffeescript,:gift:
coffeescript,:gift:
coffeescript,:gift:
coffeescript,:gift:
javascript,:gift:
javascript,:gift:
javascript,:gift:
coffeescript,:gift:
javascript,:goat:
html,:goat:
coffeescript,:goat:
javascript,:goat:
javascript,:goat:
javascript,:goat:
javascript,:horse_racing:
ruby,:golf:
php,:grin:
javascript,:grin:
shell,:grin:
php,:grin:
ruby,:grin:
php,:grin:
java,:hand:
c++,:hash:
ruby,:hash:
c#,:herb:
objective-c,:herb:
css,:love_hotel:
python,:link:
javascript,:link:
python,:link:
python,:link:
javascript,:lock:
javascript,:lock:
go,:lock:
java,:lock:
clojure,:lock_with_ink_pen:
javascript,:lock:
javascript,:parker:
java,:mask:
fortran,:math:
javascript,:mega:
javascript,:mega:
ruby,:bomb:
coffeescript,:memo:
coffeescript,:memo:
coffeescript,:memo:
coffeescript,:memo:
coffeescript,:memo:
coffeescript,:memo:
coffeescript,:memo:
coffeescript,:memo:
coffeescript,:memo:
coffeescript,:memo:
coffeescript,:memo:
coffeescript,:memo:
javascript,:memo:
javascript,:memo:
ruby,:memo:
julia,:memo:
go,:memo:
javascript,:memo:
javascript,:memo:
javascript,:memo:
javascript,:memo:
typescript,:memo:
typescript,:memo:
typescript,:memo:
typescript,:memo:
typescript,:memo:
typescript,:memo:
typescript,:memo:
typescript,:memo:
typescript,:memo:
typescript,:memo:
typescript,:memo:
typescript,:memo:
typescript,:memo:
typescript,:memo:
typescript,:memo:
css,:memo:
css,:memo:
php,:memo:
javascript,:memo:
php,:memo:
php,:memo:
javascript,:memo:
c++,:memo:
c++,:memo:
coffeescript,:memo:
shell,:memo:
css,:memo:
css,:memo:
c++,:memo:
c++,:memo:
typescript,:memo:
coffeescript,:memo:
coffeescript,:memo:
coffeescript,:memo:
php,:memo:
viml,:memo:
c++,:memo:
c++,:memo:
javascript,:memo:
clojure,:memo:
coffeescript,:memo:
python,:memo:
c++,:memo:
coffeescript,:memo:
coffeescript,:memo:
coffeescript,:memo:
coffeescript,:memo:
ruby,:memo:
java,:memo:
javascript,:memo:
php,:memo:
ruby,:memo:
coffeescript,:memo:
ruby,:memo:
javascript,:memo:
shell,:memo:
coffeescript,:memo:
coffeescript,:memo:
php,:memo:
python,:memo:
coffeescript,:memo:
coffeescript,:memo:
coffeescript,:memo:
javascript,:memo:
javascript,:memo:
javascript,:memo:
viml,:memo:
viml,:memo:
